No.,AIR,Team Name,Institute Name,Member 1,Member 2,Member 3,Rating,Location
41,151,"<a class=""rated-user user-blue"" href=""/profile/VICTUS"" title=""Expert VICTUS"">VICTUS</a>",Pune Institute of Computer Technology,"<a class=""rated-user user-blue"" href=""/profile/akashpatil219"" title=""Expert akashpatil219"">akashpatil2 19</a>","<a class=""rated-user user-cyan"" href=""/profile/shivamgor498"" title=""Specialist shivamgor498"">shivamgor49 8</a>","<a class=""rated-user user-cyan"" href=""/profile/www.sagarb"" title=""Specialist www.sagarb"">www.sagarb</a>","<a class=""rated-user user-blue"" href=""/profile/1810"" title=""Expert 1810"">1810</a>",Pune
42,97,"<a class=""rated-user user-blue"" href=""/profile/BlundersPride"" title=""Expert BlundersPride"">BlundersPri de</a>","Birla Institute of Technology, Mesra","<a class=""rated-user user-blue"" href=""/profile/puneetrai04"" title=""Expert puneetrai04"">puneetrai04</a>","<a class=""rated-user user-cyan"" href=""/profile/karngyan"" title=""Specialist karngyan"">karngyan</a>","<a class=""rated-user user-cyan"" href=""/profile/archit4077sh"" title=""Specialist archit4077sh"">archit4077s h</a>","<a class=""rated-user user-blue"" href=""/profile/1799"" title=""Expert 1799"">1799</a>",Gwalior
43,349,"<a class=""rated-user user-blue"" href=""/profile/SEAS_phoenix"" title=""Expert SEAS_phoenix"">SEAS_phoeni x</a>","School of Engineering and Applied Science, Ahmedabad University","<a class=""rated-user user-blue"" href=""/profile/smit_mandavia"" title=""Expert smit_mandavia"">smit_mandav ia</a>","<a class=""rated-user user-cyan"" href=""/profile/m_never_dies"" title=""Specialist m_never_dies"">m_never_die s</a>","<a class=""rated-user user-green"" href=""/profile/black_truce"" title=""Pupil black_truce"">black_truce</a>","<a class=""rated-user user-blue"" href=""/profile/1787"" title=""Expert 1787"">1787</a>",Pune
44,171,"<a class=""rated-user user-blue"" href=""/profile/TLERush"" title=""Expert TLERush"">TLERush</a>",Indian Institute of Technology - Bhilai,"<a class=""rated-user user-cyan"" href=""/profile/Shubh_Agrawal"" title=""Specialist Shubh_Agrawal"">Shubh_Agraw al</a>","<a class=""rated-user user-cyan"" href=""/profile/sid_1310"" title=""Specialist sid_1310"">sid_1310</a>","<a class=""rated-user user-cyan"" href=""/profile/BruceWayne1621"" title=""Specialist BruceWayne1621"">BruceWayne1 621</a>","<a class=""rated-user user-blue"" href=""/profile/1745"" title=""Expert 1745"">1745</a>",Pune
45,370,"<a class=""rated-user user-blue"" href=""/profile/NZEC"" title=""Expert NZEC"">NZEC</a>",Chandigarh University,"<a class=""rated-user user-blue"" href=""/profile/abhiroxx"" title=""Expert abhiroxx"">abhiroxx</a>","<a class=""rated-user user-cyan"" href=""/profile/somesh_99"" title=""Specialist somesh_99"">somesh_99</a>","<a class=""rated-user user-green"" href=""/profile/amitray1608"" title=""Pupil amitray1608"">amitray1608</a>","<a class=""rated-user user-blue"" href=""/profile/1738"" title=""Expert 1738"">1738</a>",Gwalior
46,399,"<a class=""rated-user user-blue"" href=""/profile/Death Eaters"" title=""Expert Death Eaters"">Death Eaters</a>","National Institute of Technology, Srinagar","<a class=""rated-user user-cyan"" href=""/profile/horcrux2301"" title=""Specialist horcrux2301"">horcrux2301</a>","<a class=""rated-user user-cyan"" href=""/profile/the_king_in_the_nrth"" title=""Specialist the_king_in_the_nrth"">the_king_in \_the_nrth</a>","<a class=""rated-user user-cyan"" href=""/profile/Hitesh2023"" title=""Specialist Hitesh2023"">Hitesh2023</a>","<a class=""rated-user user-blue"" href=""/profile/1700"" title=""Expert 1700"">1700</a>",Pune
47,605,"<a class=""rated-user user-blue"" href=""/profile/Hash_Tag"" title=""Expert Hash_Tag"">Hash_Tag</a>","Future Institute of Engineering and Management, Kolkata","<a class=""rated-user user-cyan"" href=""/profile/ricksr"" title=""Specialist ricksr"">ricksr</a>","<a class=""rated-user user-cyan"" href=""/profile/angooj"" title=""Specialist angooj"">angooj</a>","<a class=""rated-user user-cyan"" href=""/profile/pawanvines"" title=""Specialist pawanvines"">pawanvines</a>","<a class=""rated-user user-blue"" href=""/profile/1681"" title=""Expert 1681"">1681</a>",Gwalior
48,567,"<a class=""rated-user user-blue"" href=""/profile/AheadSquad"" title=""Expert AheadSquad"">AheadSquad</a>","Birla Institute of Technology, Jaipur","<a class=""rated-user user-cyan"" href=""/profile/lk03021998"" title=""Specialist lk03021998"">lk03021998</a>","<a class=""rated-user user-cyan"" href=""/profile/divik544"" title=""Specialist divik544"">divik544</a>",shivamezio300,"<a class=""rated-user user-blue"" href=""/profile/1664"" title=""Expert 1664"">1664</a>",Gwalior
49,572,"<a class=""rated-user user-blue"" href=""/profile/PorkAndBeans"" title=""Expert PorkAndBeans"">PorkAndBean s</a>",Sardar Patel Institute of Technology,"<a class=""rated-user user-cyan"" href=""/profile/Siddharthp538"" title=""Specialist Siddharthp538"">Siddharthp5 38</a>","<a class=""rated-user user-cyan"" href=""/profile/Sagarika12"" title=""Specialist Sagarika12"">Sagarika12</a>",Jayxl,"<a class=""rated-user user-blue"" href=""/profile/1645"" title=""Expert 1645"">1645</a>",Gwalior
50,882,"<a class=""rated-user user-blue"" href=""/profile/benevolent"" title=""Expert benevolent"">benevolent</a>",Pimpri-Chinchwad College Of Engineering,"<a class=""rated-user user-cyan"" href=""/profile/akk5597"" title=""Specialist akk5597"">akk5597</a>","<a class=""rated-user user-cyan"" href=""/profile/gajaretejas"" title=""Specialist gajaretejas"">gajaretejas</a>",,"<a class=""rated-user user-blue"" href=""/profile/1601"" title=""Expert 1601"">1601</a>",Gwalior
51,519,"<a class=""rated-user user-green"" href=""/profile/iNTERCEPTORz"" title=""Pupil iNTERCEPTORz"">iNTERCEPTOR z</a>",KLE Dr. M. S. Sheshgiri College of Engineering and Technology,"<a class=""rated-user user-green"" href=""/profile/ashutoshjv661"" title=""Pupil ashutoshjv661"">ashutoshjv6 61</a>",,,"<a class=""rated-user user-green"" href=""/profile/1371"" title=""Pupil 1371"">1371</a>",Gwalior
52,727,"<a class=""rated-user user-gray"" href=""/profile/Semaforce"" title=""Newbie Semaforce"">Semaforce</a>","Indian Institute of Technology, Tirupati",vaishali,reena,,"<a class=""rated-user user-gray"" href=""/profile/153"" title=""Newbie 153"">153</a>",Gwalior
53,26,killer_gods,Indian Institute Of Technology Jodhpur,,,,0,Gwalior
54,38,ViRuS,"Indian Institute of Technology (Banaras Hindu University), Varanasi",,,,0,Pune
55,49,demossers,Indian Institute of Technology - Kharagpur,,,,0,Gwalior
56,63,Leviathan,"Birla Institute of Technology & Science, Pilani Campus",,,,0,Gwalior
57,67,10^9+7,Indian Institute of Technology - Delhi,,,,0,Gwalior
58,99,64_tick,"National Institute of Technology, Warangal",,,,0,Gwalior
59,101,Linking_Error,Dhirubhai Ambani Institute of Information and Communication Technology,,,,0,Pune
60,103,penalty=INF;,Vellore Institute of Technology,,,,0,Gwalior
61,112,thelostsoul,Indian Institute of Technology - Gandhinagar,,,,0,Pune
62,118,Mango_lassi,Indian Institute of Information Technology - Allahabad,,,,0,Pune
63,120,Three_Tortoises,"National Institute of Technology, Jamshedpur",,,,0,Gwalior
64,136,Shooting Stars,"Netaji Subhas Institute of Technology, Delhi",,,,0,Gwalior
65,141,CodeDevils,"Indian Institute of Information Technology, Una",,,,0,Gwalior
66,190,NNHP,"ManipalÃ‚Â Institute of Technology, Manipal",,,,0,Pune
67,202,mistrymachine,The LNM Institute of Information Technology,,,,0,Gwalior
68,205,return_home,"Indian Institute of Information Technology & Management, Gwalior",,,,0,Gwalior
69,222,alpha_queue,"National Institute of Technology, Durgapur",,,,0,Gwalior
70,223,pseudo_coderz,Indian Institute of Technology - Ropar,,,,0,Pune
71,227,alphaQueue,Jalpaiguri Government Engineering College- Maulana Abul Kalam Azad Uni,,,,0,Pune
72,233,revenge_of_nerds,"Indian Institute of Technology (ISM), Dhanbad",,,,0,Gwalior
73,242,Mahishasur,"Madhav Institute of Technology & Science, Gwalior",,,,0,Gwalior
74,251,tooObtuse,University Visvesvaraya College of Engineering,,,,0,Gwalior
75,256,3Bugs,"Visvesvaraya National Institute of Technology, Nagpur",,,,0,Pune
76,262,Black_Pearl,Delhi Technological University,,,,0,Gwalior
77,264,noname00,"Indian Institute of Information Technology & Management, Gwalior",,,,0,Gwalior
78,274,Aflatoon,Indian Institute of Information Technology Kota,,,,0,Gwalior
79,283,code_assassins,Kalyani Government Engineering College,,,,0,Gwalior
80,297,Ganador,Motilal Nehru National Institute of Technology - Allahabad,,,,0,Gwalior
81,301,return 0,"Government College of Engineering, Aurangabad, Maharashtra",,,,0,Pune
82,329,Triple Thread,"Amrita School of Engineering, Coimbatore",,,,0,Pune
83,331,Three_SAT,"Indian Institute of Information Technology, Sri City, Chittoor",,,,0,Pune
84,336,Sherlock_code,"National Institute of Technology, Raipur",,,,0,Pune
85,342,Gravity,"MBM College of Engineering, Jodhpur",,,,0,Gwalior
86,355,Creedakautuk,"Indian Institute of Engineering Science and Technology, Shibpur",,,,0,Pune
87,358,thik hai,"Arya College of Engineering & IT, Jaipur",,,,0,Gwalior
88,364,Hungry_Chef,K L University,,,,0,Gwalior
89,379,IISc Team A,"Indian Institute of Science, Bangalore",,,,0,Pune
90,380,RSN,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai",,,,0,Pune
91,388,ACCIO_ICPC,"University College of Engineering, Osmania University",,,,0,Gwalior
92,412,AdHoc,Maharaja Agrasen Institute of Technology,,,,0,Gwalior
93,415,Semicolon,Indian Institute of Information Technology Pune,,,,0,Pune
94,426,OofOneCoders,"Thapar University, Patiala",,,,0,Gwalior
95,430,Infinite Paradox,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,,,,0,Pune
96,433,Vis_ha_ka,Sastra University,,,,0,Gwalior
97,436,amigos,Lovely Professional University,,,,0,Gwalior
98,452,Champions,IIT Bhubaneswar,,,,0,Gwalior
99,456,Trie till you succeed,Sri Sivasubramaniya Nadar College of Engineering,,,,0,Pune
100,511,OREO_12345,"Birla Institute of Technology, Patna",,,,0,Pune
101,514,bro-code,Anna University - College of Engg. Guindy,,,,0,Pune
102,524,team_coep,"College of Engineering, Pune",,,,0,Pune
103,526,wcehackers,"Walchand College of Engineering, Sangli",,,,0,Gwalior
104,528,TangyOrange,"International Institute of Information Technology, Bhubaneswar",,,,0,Gwalior
105,564,binarycoders,Punjab Engineering College,,,,0,Gwalior
106,565,Icoders,G.H.Patel College of Engineering and Technology,,,,0,Gwalior
107,578,Team Semicolon,KLE Technological University,,,,0,Gwalior
108,584,codenitm,"National Institute of Technology, Meghalaya",,,,0,Gwalior
109,608,OptimisedNaive's,"PDPM Indian Institute of Information Technology Design & Manufacturing,",,,,0,Gwalior
110,618,Last_SOT,International Institute of Information Technology - Naya Raipur,,,,0,Gwalior
111,621,RBTREE NODES,"National Institute of Technology, Hamirpur",,,,0,Gwalior
112,642,FastAndFourier,DJ Sanghvi College of Engineering,,,,0,Gwalior
113,646,pikapi,"Bengal Institute of Technology, Tech Town",,,,0,Gwalior
114,652,Sacred_Coder,Sardar Vallabhbhai National Institute of Technology,,,,0,Gwalior
115,658,NoCalibre,"Shri Ramdeobaba College of Engineering and Management, Nagpur",,,,0,Gwalior
116,691,TeamRocketNITB,Maulana Azad National Institute of Technology Bhopal,,,,0,Gwalior
117,692,Random_Team,"Institute of Engineering & Technology, Lucknow",,,,0,Gwalior
118,692,NoOne,"National Institute of Technology, Silchar",,,,0,Gwalior
119,714,Sniper_017,Jamia Millia Islamia,,,,0,Gwalior
120,726,LOOPERs,Manipal University Jaipur,,,,0,Gwalior
121,761,Heisenberg,"Heritage Institute of Technology, Kolkata",,,,0,Gwalior
122,764,codeoverflow,University School of Information Technology,,,,0,Gwalior
123,785,ByteUs,Ramrao Adik Institute of Technology,,,,0,Gwalior
124,787,Annonymous,"University of Engineering & Management, Kolkata",,,,0,Gwalior
125,887,winston_wolfe_crew,L.D. College of Engineering,,,,0,Gwalior
126,893,Code_hunters,"Bundelkhand Institute of Engineering & Technology, Jhansi",,,,0,Gwalior
127,1948,Roll_No21,Indian Institute of Information Technology Pune,,,,0,Pune
